Country,'98–'02, '04–'08, '10–'14, '16–'20
Russian Federation,17,13,12.1,12.5
Rwanda,47.9,51.4,43.8,33.1
Saudi Arabia,10.9,9.3,7.3,6.4
Senegal,26,19.9,15.5,18.3
Serbia,—,8.1,6.3,5.4
Sierra Leone,35.5,45,30.9,29.5
Slovakia,5.8,4.6,4,3.8
Solomon Islands,34.2,32.8,31.3,28.9
Somalia,29.2,42,37.4,31.9
South Africa,30.1,24.9,22.2,21.4
South Sudan,—,—,31.3,—
Sri Lanka,18.3,18.1,14.6,17.3
Sudan,—,—,36.2,31.4
Suriname,14.1,10.6,8.8,8.3
Syrian Arab Republic,24.3,28.7,27.9,—
Tajikistan,42.1,36.2,26.9,17.5
Tanzania (United Rep. of),48.3,44.4,36.2,31.8
Thailand,21.6,15.7,16.4,13.4
Timor-Leste,55.7,57.2,51.7,52.2
Togo,33.2,29.9,26.2,23.8
Trinidad & Tobago,5.3,6.2,9.2,6
Tunisia,16.8,9,10.1,8.4
Turkey,18.8,13.9,10,6
Turkmenistan,28.1,18.9,12.6,7.2
Uganda,44.9,38.4,33.7,28.9
Ukraine,22.9,17.2,16.5,16.5
Uruguay,12.8,10.8,10.7,6.9
Uzbekistan,24.9,19.6,15.6,10.8
Venezuela,17.4,16.2,10.7,23.7
Viet Nam,42.9,33.8,26.7,23.8
Yemen,52,57,46.5,51.4
Zambia,59.2,45.8,40,34.6
Zimbabwe,33.8,35.3,32.2,23.5
